Date : 2024-10-04 16:16:36
Directory : /home/kapusta/Документы/programming_tasks
Total : 903 files,  31172 codes, 2333 comments, 2779 blanks, all 36284 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        817 |     30,055 |      2,301 |      2,563 |     34,919 |
| Python   |         86 |      1,117 |         32 |        216 |      1,365 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        903 |     31,172 |      2,333 |      2,779 |     36,284 |
| . (Files)                                                                              |          1 |         18 |          0 |          4 |         22 |
| 8                                                                                      |          2 |         27 |          0 |          8 |         35 |
| CodeForcesRound                                                                        |        180 |      6,880 |        457 |        533 |      7,870 |
| CodeForcesRound/898                                                                    |          8 |        265 |         10 |          9 |        284 |
| CodeForcesRound/915                                                                    |          1 |         51 |          0 |          5 |         56 |
| CodeForcesRound/917                                                                    |          2 |         54 |          2 |          3 |         59 |
| CodeForcesRound/918                                                                    |          6 |        193 |          0 |         11 |        204 |
| CodeForcesRound/919                                                                    |          2 |         77 |          0 |          2 |         79 |
| CodeForcesRound/920                                                                    |          6 |        185 |         11 |          8 |        204 |
| CodeForcesRound/921                                                                    |          5 |        103 |          0 |          6 |        109 |
| CodeForcesRound/921D1                                                                  |          1 |         20 |          0 |          4 |         24 |
| CodeForcesRound/922                                                                    |          5 |        136 |          2 |          8 |        146 |
| CodeForcesRound/923                                                                    |          1 |        252 |         11 |         15 |        278 |
| CodeForcesRound/924                                                                    |          1 |         81 |          4 |         10 |         95 |
| CodeForcesRound/925                                                                    |          1 |        150 |          5 |         12 |        167 |
| CodeForcesRound/926                                                                    |          3 |         61 |          0 |          3 |         64 |
| CodeForcesRound/927                                                                    |          8 |        255 |         15 |         17 |        287 |
| CodeForcesRound/928                                                                    |          5 |        164 |         76 |         18 |        258 |
| CodeForcesRound/929                                                                    |          1 |        106 |          4 |          7 |        117 |
| CodeForcesRound/930                                                                    |          1 |         89 |         35 |          6 |        130 |
| CodeForcesRound/931                                                                    |          1 |         68 |          3 |          3 |         74 |
| CodeForcesRound/932                                                                    |          3 |        105 |         15 |         14 |        134 |
| CodeForcesRound/933                                                                    |          1 |        165 |          3 |         10 |        178 |
| CodeForcesRound/960                                                                    |          7 |        333 |          8 |         13 |        354 |
| CodeForcesRound/972                                                                    |          2 |         78 |         17 |          7 |        102 |
| CodeForcesRound/Beta2                                                                  |          5 |        234 |         11 |          8 |        253 |
| CodeForcesRound/CodeForcesER                                                           |         11 |        711 |         64 |         74 |        849 |
| CodeForcesRound/CodeForcesER/160                                                       |          5 |        181 |         31 |         20 |        232 |
| CodeForcesRound/CodeForcesER/161                                                       |          5 |        181 |          7 |          6 |        194 |
| CodeForcesRound/CodeForcesER/162                                                       |          1 |        349 |         26 |         48 |        423 |
| CodeForcesRound/GB2023                                                                 |          5 |        205 |          6 |         13 |        224 |
| CodeForcesRound/H2024                                                                  |          5 |        143 |          3 |          7 |        153 |
| CodeForcesRound/beta1                                                                  |          2 |         66 |          2 |          7 |         75 |
| CodeForcesRound/nar                                                                    |         81 |      2,530 |        150 |        233 |      2,913 |
| DANO                                                                                   |          2 |          0 |          0 |          2 |          2 |
| Graphs                                                                                 |          7 |        277 |         51 |         31 |        359 |
| Graphs (Files)                                                                         |          5 |        176 |         50 |         12 |        238 |
| Graphs/Deixtra                                                                         |          2 |        101 |          1 |         19 |        121 |
| ITMO                                                                                   |         14 |        680 |         86 |         51 |        817 |
| ITMO/otb                                                                               |          7 |        350 |         28 |         26 |        404 |
| ITMO/zakl                                                                              |          7 |        330 |         58 |         25 |        413 |
| MOS                                                                                    |         14 |        600 |        138 |         47 |        785 |
| REG                                                                                    |          5 |        308 |         19 |         20 |        347 |
| REG/2013                                                                               |          1 |         22 |          1 |          2 |         25 |
| REG/2022                                                                               |          2 |        211 |         17 |          8 |        236 |
| REG/2023                                                                               |          1 |         37 |          1 |          3 |         41 |
| REG/sbory                                                                              |          1 |         38 |          0 |          7 |         45 |
| SF                                                                                     |          6 |        313 |         33 |         19 |        365 |
| SSY                                                                                    |          1 |         31 |          0 |          2 |         33 |
| SSY/otbor                                                                              |          1 |         31 |          0 |          2 |         33 |
| Verchenko                                                                              |          3 |         57 |          0 |          6 |         63 |
| Verchenko/test                                                                         |          3 |         57 |          0 |          6 |         63 |
| acmp                                                                                   |         32 |        768 |         15 |         59 |        842 |
| ariphmetic                                                                             |          3 |         36 |          0 |          7 |         43 |
| belchonok                                                                              |          3 |         80 |          2 |          6 |         88 |
| cappa                                                                                  |          2 |        101 |          3 |          7 |        111 |
| dop                                                                                    |         12 |        402 |         25 |         34 |        461 |
| dop/otbor                                                                              |         12 |        402 |         25 |         34 |        461 |
| dynamic                                                                                |         25 |        309 |         11 |         58 |        378 |
| fucking_python_in_minecraft                                                            |          6 |         37 |          0 |          9 |         46 |
| fucking_python_in_minecraft/otbor                                                      |          6 |         37 |          0 |          9 |         46 |
| inform                                                                                 |         29 |        816 |         27 |         66 |        909 |
| inform/1                                                                               |         10 |        350 |         17 |         23 |        390 |
| inform/2                                                                               |          9 |        228 |         10 |         20 |        258 |
| inform/3                                                                               |         10 |        238 |          0 |         23 |        261 |
| informatics                                                                            |         13 |        271 |          2 |         24 |        297 |
| innopolisOpen                                                                          |         15 |        350 |         14 |         29 |        393 |
| innopolisOpen/first_tour                                                               |          8 |        231 |         11 |         17 |        259 |
| innopolisOpen/test_tour                                                                |          7 |        119 |          3 |         12 |        134 |
| ipc                                                                                    |          4 |        155 |         10 |         21 |        186 |
| ipc/rand                                                                               |          4 |        155 |         10 |         21 |        186 |
| izumrud                                                                                |          5 |        115 |          2 |         12 |        129 |
| lomonosov                                                                              |          5 |        258 |         22 |         20 |        300 |
| myContest                                                                              |          4 |         73 |          0 |          8 |         81 |
| myContest/testCon                                                                      |          4 |         73 |          0 |          8 |         81 |
| otbor_tinkof080923                                                                     |         30 |        751 |         24 |         86 |        861 |
| otbor_tinkoff02                                                                        |          2 |         43 |          0 |          5 |         48 |
| primeTime                                                                              |          4 |        196 |         11 |         11 |        218 |
