Date : 2024-10-04 16:16:36
Directory : /home/kapusta/Документы/programming_tasks
Total : 903 files,  31172 codes, 2333 comments, 2779 blanks, all 36284 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| sirius                                                                                 |         65 |      2,172 |        189 |        187 |      2,548 |
| sirius (Files)                                                                         |         18 |        465 |         53 |         34 |        552 |
| sirius/1                                                                               |          4 |        129 |          3 |          7 |        139 |
| sirius/2                                                                               |          9 |        322 |         43 |         31 |        396 |
| sirius/3                                                                               |         16 |        676 |         74 |         83 |        833 |
| sirius/4                                                                               |         18 |        580 |         16 |         32 |        628 |
| smena                                                                                  |          8 |        370 |         26 |         22 |        418 |
| smena/bfs                                                                              |          1 |         58 |          7 |          2 |         67 |
| smena/geom                                                                             |          1 |          8 |          0 |          3 |         11 |
| smena/hz                                                                               |          3 |        135 |         17 |          9 |        161 |
| smena/sqrtDecompose                                                                    |          3 |        169 |          2 |          8 |        179 |
| technoCup                                                                              |          3 |         45 |          0 |          6 |         51 |
| timus                                                                                  |          1 |          9 |          0 |          1 |         10 |
| tinkoff                                                                                |        311 |     12,324 |      1,018 |      1,109 |     14,451 |
| tinkoff/BFS&D                                                                          |         29 |      1,681 |        172 |        240 |      2,093 |
| tinkoff/DFS                                                                            |         22 |        829 |         60 |        106 |        995 |
| tinkoff/DO                                                                             |         10 |        603 |         60 |         84 |        747 |
| tinkoff/F&FB                                                                           |          4 |        211 |          2 |         35 |        248 |
| tinkoff/STL                                                                            |          5 |        165 |         15 |          7 |        187 |
| tinkoff/algos1                                                                         |         10 |        431 |         42 |         28 |        501 |
| tinkoff/binsearch                                                                      |         15 |        416 |         18 |         44 |        478 |
| tinkoff/dynamic                                                                        |         31 |        899 |         80 |         37 |      1,016 |
| tinkoff/dynamic2                                                                       |         36 |      1,296 |         66 |         52 |      1,414 |
| tinkoff/exam                                                                           |         10 |        356 |         43 |         25 |        424 |
| tinkoff/lin                                                                            |         14 |        639 |         84 |         54 |        777 |
| tinkoff/nums                                                                           |         28 |        829 |         32 |         61 |        922 |
| tinkoff/otbor2024                                                                      |         17 |        893 |        167 |         72 |      1,132 |
| tinkoff/perebor                                                                        |         18 |        664 |         32 |         62 |        758 |
| tinkoff/pref_twopointers                                                               |         11 |        267 |         16 |         32 |        315 |
| tinkoff/scanline                                                                       |         22 |        996 |        106 |         98 |      1,200 |
| tinkoff/sort                                                                           |         20 |        778 |         23 |         56 |        857 |
| tinkoff/stack_deck                                                                     |          9 |        371 |          0 |         16 |        387 |
| tinkoff_dop                                                                            |          1 |          8 |          0 |          1 |          9 |
| tinkoff_trenirovki                                                                     |          2 |         40 |          0 |          5 |         45 |
| vprob                                                                                  |          5 |        156 |         27 |          8 |        191 |
| нарешка                                                                                |         30 |        683 |         55 |         74 |        812 |
| нарешка/2004-2005                                                                      |          4 |         77 |         12 |         11 |        100 |
| нарешка/itmo                                                                           |          3 |         48 |          5 |          7 |         60 |
| нарешка/scool_et                                                                       |          6 |        103 |          1 |         16 |        120 |
| нарешка/ВСОШ                                                                           |          9 |        161 |         26 |         15 |        202 |
| нарешка/ВСОШ/munik                                                                     |          1 |         12 |          0 |          1 |         13 |
| нарешка/ВСОШ/school                                                                    |          8 |        149 |         26 |         14 |        189 |
| нарешка/ИОИП                                                                           |          2 |         50 |          0 |          6 |         56 |
| нарешка/РОИ                                                                            |          6 |        244 |         11 |         19 |        274 |
| смена                                                                                  |         48 |      1,413 |         66 |        181 |      1,660 |
| смена/задачи                                                                           |         34 |      1,040 |         58 |        141 |      1,239 |
| смена/командная олимпиада                                                              |         10 |        272 |          5 |         27 |        304 |
| смена/личная олимпиада                                                                 |          4 |        101 |          3 |         13 |        117 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                               | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/kapusta/Документы/programming_tasks/8/a.py                                       | Python   |          9 |          0 |          2 |         11 |
| /home/kapusta/Документы/programming_tasks/8/testa.py                                   | Python   |         18 |          0 |          6 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/a.cpp                    | C++      |         27 |          0 |          1 |         28 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/b.cpp                    | C++      |         33 |          2 |          1 |         36 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/c.cpp                    | C++      |         34 |          0 |          1 |         35 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/d.cpp                    | C++      |         26 |          0 |          1 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/e.cpp                    | C++      |         27 |          3 |          1 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/e2.cpp                   | C++      |         37 |          4 |          1 |         42 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/e3.cpp                   | C++      |         36 |          1 |          2 |         39 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/898/f.cpp                    | C++      |         45 |          0 |          1 |         46 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/915/a.cpp                    | C++      |         51 |          0 |          5 |         56 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/917/a.cpp                    | C++      |         27 |          0 |          1 |         28 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/917/b.cpp                    | C++      |         27 |          2 |          2 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/918/a.cpp                    | C++      |         19 |          0 |          1 |         20 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/918/b.cpp                    | C++      |         54 |          0 |          2 |         56 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/918/c.cpp                    | C++      |         24 |          0 |          3 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/918/d.cpp                    | C++      |         45 |          0 |          1 |         46 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/918/e.cpp                    | C++      |         41 |          0 |          2 |         43 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/918/e2.cpp                   | C++      |         10 |          0 |          2 |         12 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/919/a.cpp                    | C++      |         41 |          0 |          1 |         42 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/919/b.cpp                    | C++      |         36 |          0 |          1 |         37 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/920/a.cpp                    | C++      |         21 |          0 |          1 |         22 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/920/b.cpp                    | C++      |         35 |          3 |          1 |         39 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/920/b2.cpp                   | C++      |         50 |          3 |          1 |         54 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/920/c.cpp                    | C++      |         36 |          4 |          1 |         41 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/920/c2.cpp                   | C++      |         13 |          0 |          3 |         16 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/920/c3.cpp                   | C++      |         30 |          1 |          1 |         32 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/921/a.cpp                    | C++      |         22 |          0 |          1 |         23 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/921/b.cpp                    | C++      |         23 |          0 |          1 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/921/b2.cpp                   | C++      |         26 |          0 |          1 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/921/b3.cpp                   | C++      |         23 |          0 |          1 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/921/c.cpp                    | C++      |          9 |          0 |          2 |         11 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/921D1/a.cpp                  | C++      |         20 |          0 |          4 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/922/a.cpp                    | C++      |         14 |          0 |          1 |         15 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/922/b.cpp                    | C++      |         41 |          0 |          3 |         44 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/922/c.cpp                    | C++      |         32 |          1 |          2 |         35 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/922/c2.cpp                   | C++      |         35 |          1 |          1 |         37 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/922/c3.cpp                   | C++      |         14 |          0 |          1 |         15 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/923/a.cpp                    | C++      |        252 |         11 |         15 |        278 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/924/a.cpp                    | C++      |         81 |          4 |         10 |         95 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/925/a.cpp                    | C++      |        150 |          5 |         12 |        167 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/926/a.cpp                    | C++      |         23 |          0 |          1 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/926/b.cpp                    | C++      |         21 |          0 |          1 |         22 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/926/c.cpp                    | C++      |         17 |          0 |          1 |         18 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/a.cpp                    | C++      |         24 |          0 |          1 |         25 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/b.cpp                    | C++      |         24 |          1 |          2 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/c.cpp                    | C++      |         32 |          7 |          4 |         43 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/c2.py                    | Python   |         20 |          0 |          0 |         20 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/c3.cpp                   | C++      |          7 |          0 |          2 |          9 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/d.cpp                    | C++      |         48 |          0 |          3 |         51 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/d2.cpp                   | C++      |         65 |          7 |          2 |         74 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/927/d3.cpp                   | C++      |         35 |          0 |          3 |         38 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/928/a.cpp                    | C++      |         23 |          0 |          2 |         25 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/928/b.cpp                    | C++      |         31 |          1 |          1 |         33 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/928/c.cpp                    | C++      |         48 |         68 |         11 |        127 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/928/c2.cpp                   | C++      |         27 |          0 |          3 |         30 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/928/d.cpp                    | C++      |         35 |          7 |          1 |         43 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/929/a.cpp                    | C++      |        106 |          4 |          7 |        117 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/930/a.cpp                    | C++      |         89 |         35 |          6 |        130 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/931/a.cpp                    | C++      |         68 |          3 |          3 |         74 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/932/a.cpp                    | C++      |         36 |          0 |          6 |         42 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/932/b.cpp                    | C++      |         46 |         15 |          3 |         64 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/932/c.cpp                    | C++      |         23 |          0 |          5 |         28 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/933/a.cpp                    | C++      |        165 |          3 |         10 |        178 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/a.cpp                    | C++      |         29 |          0 |          1 |         30 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/b.cpp                    | C++      |         20 |          0 |          1 |         21 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/c.cpp                    | C++      |         43 |          0 |          1 |         44 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/c2.cpp                   | C++      |         36 |          2 |          1 |         39 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/d.cpp                    | C++      |        159 |          1 |          6 |        166 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/d2.cpp                   | C++      |         33 |          5 |          1 |         39 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/960/e1.cpp                   | C++      |         13 |          0 |          2 |         15 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/972/a.cpp                    | C++      |         28 |          2 |          3 |         33 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/972/b.cpp                    | C++      |         50 |         15 |          4 |         69 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a.cpp                  | C++      |         23 |          5 |          1 |         29 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a2.cpp                 | C++      |         44 |          3 |          1 |         48 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/a3.cpp                 | C++      |         39 |          0 |          2 |         41 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/b.cpp                  | C++      |         64 |          2 |          2 |         68 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/Beta2/b2.cpp                 | C++      |         64 |          1 |          2 |         67 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/a.cpp       | C++      |         30 |          0 |          1 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/b.cpp       | C++      |         17 |          0 |          5 |         22 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/c.cpp       | C++      |         41 |         13 |          4 |         58 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/c2.cpp      | C++      |         36 |         13 |          4 |         53 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/160/d.cpp       | C++      |         57 |          5 |          6 |         68 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/a.cpp       | C++      |         36 |          1 |          1 |         38 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/b.cpp       | C++      |         28 |          1 |          1 |         30 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/b2.cpp      | C++      |         29 |          0 |          1 |         30 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/b3.cpp      | C++      |         37 |          0 |          2 |         39 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/161/c.cpp       | C++      |         51 |          5 |          1 |         57 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/CodeForcesER/162/a.cpp       | C++      |        349 |         26 |         48 |        423 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/a.cpp                 | C++      |         32 |          0 |          2 |         34 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b.cpp                 | C++      |         82 |          2 |          4 |         88 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b2.cpp                | C++      |         23 |          0 |          2 |         25 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b3.cpp                | C++      |         40 |          0 |          3 |         43 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/GB2023/b4.cpp                | C++      |         28 |          4 |          2 |         34 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/a.cpp                  | C++      |         17 |          0 |          1 |         18 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/b.cpp                  | C++      |         24 |          0 |          1 |         25 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/c.cpp                  | C++      |         44 |          1 |          1 |         46 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/c2.cpp                 | C++      |         16 |          0 |          1 |         17 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/H2024/e.cpp                  | C++      |         42 |          2 |          3 |         47 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/beta1/a.cpp                  | C++      |         11 |          0 |          2 |         13 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/beta1/b.cpp                  | C++      |         55 |          2 |          5 |         62 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1907A.cpp                | C++      |         30 |          0 |          1 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1909A.cpp                | C++      |         41 |          0 |          2 |         43 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1909A2.cpp               | C++      |         37 |          0 |          1 |         38 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1913A.cpp                | C++      |         16 |          0 |          2 |         18 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914A.cpp                | C++      |         26 |          0 |          2 |         28 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914B.cpp                | C++      |         23 |          0 |          3 |         26 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1915A.cpp                | C++      |         16 |          0 |          3 |         19 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1920B.cpp                | C++      |         32 |          6 |          1 |         39 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1921C.cpp                | C++      |         28 |          9 |          1 |         38 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1922E.cpp                | C++      |         14 |          0 |          1 |         15 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1987B.cpp                | C++      |         36 |          3 |          3 |         42 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1989B.cpp                | C++      |         29 |          0 |          4 |         33 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1990A.cpp                | C++      |         28 |          0 |          3 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1990B.cpp                | C++      |         30 |          0 |          4 |         34 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1991B.cpp                | C++      |         33 |          2 |          3 |         38 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1992C.cpp                | C++      |         23 |          0 |          3 |         26 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1992D.cpp                | C++      |         29 |          8 |          4 |         41 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1993B.cpp                | C++      |         43 |          4 |          3 |         50 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1995B.cpp                | C++      |         36 |          1 |          3 |         40 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1996C.cpp                | C++      |         35 |          4 |          3 |         42 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997B.cpp                | C++      |         29 |          1 |          3 |         33 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1997C.cpp                | C++      |         47 |          0 |          4 |         51 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999A.cpp                | C++      |         16 |          0 |          3 |         19 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999B.cpp                | C++      |         27 |          0 |          5 |         32 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999C.cpp                | C++      |         28 |          0 |          3 |         31 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1999D.cpp                | C++      |         30 |          0 |          3 |         33 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000A.cpp                | C++      |         21 |          0 |          3 |         24 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000B.cpp                | C++      |         34 |          0 |          3 |         37 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000C.cpp                | C++      |         42 |          0 |          4 |         46 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2000D.cpp                | C++      |         50 |         26 |         13 |         89 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2001A.cpp                | C++      |         29 |          0 |          3 |         32 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2001B.cpp                | C++      |         33 |          0 |          3 |         36 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2002A.cpp                | C++      |         16 |          0 |          3 |         19 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2002B.cpp                | C++      |         41 |          1 |          3 |         45 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003A.cpp                | C++      |         22 |          0 |          3 |         25 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003B.cpp                | C++      |         21 |          3 |          3 |         27 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2003C.cpp                | C++      |         38 |          0 |          4 |         42 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004A.cpp                | C++      |         27 |          0 |          3 |         30 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004B.cpp                | C++      |         26 |          0 |          3 |         29 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2004C.cpp                | C++      |         36 |          3 |          4 |         43 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2005B.cpp                | C++      |         43 |          4 |          5 |         52 |
| /home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/2007A.cpp                | C++      |         32 |          0 |          4 |         36 |
