"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/fucking_python_in_minecraft/otbor/1.py", "Python", 3, 0, 0, 1, 4
"/home/kapusta/Документы/programming_tasks/fucking_python_in_minecraft/otbor/2.py", "Python", 8, 0, 0, 1, 9
"/home/kapusta/Документы/programming_tasks/fucking_python_in_minecraft/otbor/3.py", "Python", 5, 0, 0, 2, 7
"/home/kapusta/Документы/programming_tasks/fucking_python_in_minecraft/otbor/4.py", "Python", 7, 0, 0, 1, 8
"/home/kapusta/Документы/programming_tasks/fucking_python_in_minecraft/otbor/5.py", "Python", 9, 0, 0, 2, 11
"/home/kapusta/Документы/programming_tasks/fucking_python_in_minecraft/otbor/6.py", "Python", 5, 0, 0, 2, 7
"/home/kapusta/Документы/programming_tasks/inform/1/d2.cpp", "C++", 0, 2, 0, 0, 2
"/home/kapusta/Документы/programming_tasks/inform/1/d3.cpp", "C++", 0, 99, 15, 5, 119
"/home/kapusta/Документы/programming_tasks/inform/1/e.cpp", "C++", 0, 16, 0, 2, 18
"/home/kapusta/Документы/programming_tasks/inform/1/f.cpp", "C++", 0, 31, 2, 2, 35
"/home/kapusta/Документы/programming_tasks/inform/1/f.py", "Python", 19, 0, 0, 1, 20
"/home/kapusta/Документы/programming_tasks/inform/1/g.cpp", "C++", 0, 25, 0, 2, 27
"/home/kapusta/Документы/programming_tasks/inform/2/a.cpp", "C++", 0, 17, 0, 3, 20
"/home/kapusta/Документы/programming_tasks/inform/2/a_graph.cpp", "C++", 0, 14, 0, 6, 20
"/home/kapusta/Документы/programming_tasks/inform/2/d.cpp", "C++", 0, 25, 0, 1, 26
"/home/kapusta/Документы/programming_tasks/inform/2/e.cpp", "C++", 0, 34, 2, 1, 37
"/home/kapusta/Документы/programming_tasks/inform/2/f.cpp", "C++", 0, 11, 0, 0, 11
"/home/kapusta/Документы/programming_tasks/inform/2/g.cpp", "C++", 0, 26, 0, 2, 28
"/home/kapusta/Документы/programming_tasks/inform/2/g3.cpp", "C++", 0, 36, 1, 2, 39
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/a.cpp", "C++", 0, 8, 3, 0, 11
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/bb6.cpp", "C++", 0, 56, 31, 3, 90
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/bb6_2.cpp", "C++", 0, 74, 2, 4, 80
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/bb6_3.cpp", "C++", 0, 59, 9, 3, 71
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/cb1.cpp", "C++", 0, 33, 3, 2, 38
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/cb3.cpp", "C++", 0, 47, 10, 3, 60
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/cb4.cpp", "C++", 0, 80, 43, 11, 134
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/cb5.cpp", "C++", 0, 62, 11, 11, 84
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/cb5_2.cpp", "C++", 0, 63, 1, 13, 77
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/d.cpp", "C++", 0, 47, 12, 1, 60
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/e.cpp", "C++", 0, 43, 12, 2, 57
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/f.cpp", "C++", 0, 49, 1, 2, 52
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/g.cpp", "C++", 0, 39, 1, 2, 42
"/home/kapusta/Документы/programming_tasks/tinkoff/otbor2024/g2.cpp", "C++", 0, 45, 1, 2, 48
"Total", "-", 56, 1041, 160, 95, 1352
